Valoren,Morningstar Credit Rating,Rating
18059291,BBB+,10
18059312,BBB+,10
18059316,BBB+,10
18083733,BBB+,10
18098777,BBB+,10
18100364,BBB+,10
18100389,BBB+,10
18112306,BBB+,10
18139341,BBB+,10
18178460,BBB+,10
18217724,BBB+,10
18219380,BBB+,10
3362641,BBB+,10
2862434,BBB+,10
3908494,BBB+,10
29819111,BBB+,10
29879959,BBB+,10
30154502,BBB+,10
30154507,BBB+,10
30165870,BBB+,10
30165895,BBB+,10
30177057,BBB+,10
30177064,BBB+,10
29819037,BBB+,10
30257252,BBB+,10
2893775,BBB+,10
2801057,BBB+,10
18006981,BBB+,10
32015302,BBB+,10
14963966,BBB+,10
32029546,BBB+,10
32029548,BBB+,10
32055524,BBB+,10
14963958,BBB+,10
14963874,BBB+,10
32094134,BBB+,10
14903781,BBB+,10
25444328,BBB+,10
26005813,BBB+,10
24124132,BBB+,10
24306196,BBB+,10
24306204,BBB+,10
24523216,BBB+,10
24523226,BBB+,10
24571113,BBB+,10
24571053,BBB+,10
24678653,BBB+,10
24678656,BBB+,10
24739800,BBB+,10
24739807,BBB+,10
24784763,BBB+,10
24806314,BBB+,10
25444327,BBB+,10
26005920,BBB+,10
26075065,BBB+,10
26075071,BBB+,10
26138644,BBB+,10
26138651,BBB+,10
26210597,BBB+,10
26210603,BBB+,10
26376447,BBB+,10
26376453,BBB+,10
26407025,BBB+,10
26452434,BBB+,10
26452436,BBB+,10
26529666,BBB+,10
26529668,BBB+,10
26807296,BBB+,10
26848463,BBB+,10
26848468,BBB+,10
26969852,BBB+,10
26969853,BBB+,10
27036165,BBB+,10
27036166,BBB+,10
27128570,BBB+,10
27270017,BBB+,10
27307976,BBB+,10
27307981,BBB+,10
27448072,BBB+,10
27504385,BBB+,10
